3848428 CAMPINA GRANDE           LAT.  7 13  LONG. 35 52  ALT.  508
1962  20.4  23.4  53.1  56.6 166.8 134.6 126.7  82.1  70.8  15.3   4.4  79.2    833.4
1963  23.5  33.0 143.0  77.7  92.6  85.1  93.5  39.5  17.3   3.5  35.2 108.1    752.0
1964 107.3 123.4 179.0 193.7  97.4 164.8 159.0  78.1  50.0  11.3   4.7   3.5   1172.2
1965  54.8   7.5  20.0 168.2 136.2 124.3  52.4  37.3  39.3   3.2  26.2  46.3    715.7
1966  46.9 110.2  46.7 150.1  99.5 140.7 231.6  25.8  76.5    .0  51.5  25.9   1005.4
1967   4.4  24.6 129.6 174.9 106.6 123.2 113.4  39.3   5.2  40.9    .0   6.7    768.8
1968  76.4  42.3 155.5 104.4 179.7  47.0  70.4  16.4   2.8    .0    .0    .0    694.9
1969  22.0    .0  50.8  86.8 126.5 217.8 222.6  48.4  22.8  28.0   4.4   2.6    832.7
1970    .0    .0 137.4 175.4  26.2  73.4 140.2  84.8  11.6    .0    .0    .0    649.0
1971    .0    .0  50.0 179.6 119.6  80.0  75.8  79.2  61.6    .0  50.2   9.0    705.0
1972   3.2  64.6 285.6 139.2 110.8 115.4  60.2 149.6  17.8   9.8    .0  23.6    979.8
1973  65.0  36.0  54.0 153.0  96.0 104.0 146.0  25.6  45.7    .0   8.0  47.0    780.3
1974 111.0  46.0 122.0 170.0  96.0  60.0 206.0  20.0  52.0   2.0   7.0  53.0    945.0
1975  53.7    .2 157.5  49.1 122.0 116.0 284.0  48.0  38.0   4.0   8.0  52.0    932.5
1976   1.0  72.0 102.0  45.0 100.0  80.0  23.0   6.5   2.1  60.9 -99.9  35.0   -999.9
1977  65.9  17.2  35.0 242.5  77.0 120.5 185.1  51.8  93.2  27.5   4.6   8.9    929.2
1978   1.5  55.9  94.3 178.7 145.9 113.6 108.8  55.2  78.9   5.1  13.6  17.9    869.4
1979  28.6   9.9  33.2  76.8 147.3 108.4  90.1  17.5 100.2   4.1  49.3   1.9    667.3
1980  50.1  71.7 101.1 105.7  73.0  96.2  32.8  30.5   7.0  37.6  13.9  16.6    636.2
1981  43.3  39.5 281.3  33.7  43.3  66.0  44.3  14.1  22.0   5.2  49.1  59.1    700.9
1982   9.6 113.8  58.5  74.3 114.7 134.6  53.8  66.6    .0    .8  10.9  20.3    657.9
1983   7.9  34.5  87.6  71.3  97.0  64.6  45.9  56.5   8.9 -99.9 -99.9   1.9   -999.9
1984  31.8  16.5  73.9 161.2 139.1  76.4 124.2  84.8  28.4  18.8   7.3   1.0    763.4
1985  21.5 216.3 164.2 305.4  66.3 114.5 167.8  41.5  24.0    .4  12.9  23.1   1157.9
